Compound name;SMILES;Total Molweight;cLogP;H-Acceptors;H-Donors;sp3-Carbon Fraction;Metabolic pathway;Bioactivity;Species;Reference
Leucyl-4-hydroxyproline;CC(C)CC(C(=O)O)NC(=O)C1CC(CN1)O;244.29;-28.945;6;4;0.81818;Amino acids and Peptides;Compositions and methods for improving skin health and for the treatment and prevention of diseases, disorders and conditions associated with pathogenic microbes;Streptomyces acrimycinin;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
6-amino-[1,4]diazonane-2,5-dione;C1C[C@@H](C(=O)NCC(=O)NC1)N;171.199;-1.889;5;3;0.71429;?;Not known;Streptomyces acrimycinin;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Cyclo[Pro-Val];CC(C)[C@H]1C(=O)N2CCC[C@H]2C(=O)N1;196.249;0.0846;4;1;0.8;Polyketides;Cytotoxicity against paclitaxel-resistant human HCT116tax cells assessed as DNA;Streptomyces arenarium;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Cyclo[Leu-Phe];CC(C)C[C@H]1C(=O)N[C@H](C(=O)N1)CC2=CC=CC=C2;260.336;1.523;4;2;0.46667;Polyketides;"Percent inhibition of human calpain; Antibiotic activity against Bacillus subtilis ATCC 6633 and Escherichia coli ATCC 25922";Streptomyces arenarium;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Cyclo[Ile-Val];CCC(C)C1NC(=O)C(NC1=O)C(C)C;212.292;0.7538;4;2;0.81818;Polyketides;Not known;Streptomyces arenarium;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Adociasulfate-2;C[C@]12CC[C@H]3[C@]([C@@H]1CC[C@@]4([C@@H]2CC[C@]5([C@H]4CC6=C(C=CC(=C65)OS(=O)(=O)[O-])OS(=O)(=O)[O-])C)C)(CC[C@@H]7[C@@](O3)(CCCC7(C)C)C)C.[Na+].[Na+];738.912;45.618;9;2;0.83333;Alkaloids;Inhibition of Eg5 basal ATPase activity;Haliclona sp.;"Brier S, Carletti E, DeBonis S, Hewat E, Lemaire D, Kozielski F. The marine natural product adociasulfate-2 as a tool to identify the MT-binding region of kinesins. Biochemistry. 2006 Dec 26;45(51):15644-53. doi: 10.1021/bi061395n. Epub 2006 Dec 1. PMID: 17176086."
Adociasulfate 11;CC1=CC[C@H]2[C@@](CCC[C@@]2([C@H]1CC3=C(C=CC(=C3)OS(=O)(=O)O)O)C)(C)CC[C@H]4C(=C)CC[C@@H]5[C@@]4(CCCC5(C)C)C;598.886;7.84;5;2;0.72222;Alkaloids;Not known;Haliclona sp.;"West LM, Faulkner DJ. Hexaprenoid hydroquinones from the sponge Haliclona (aka Adocia) sp. J Nat Prod. 2006 Jul;69(7):1001-4. doi: 10.1021/np050459c. PMID: 16872132."
Haliclamide;CCCC1CCCC(=O)N[C@H](CCCC(C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C)CO;460.613;38.928;7;2;0.65385;Polyketides;Not known;Haliclona sp.;"Gahalawat S, Pandey SK. Total synthesis of haliclamide. Org Biomol Chem. 2016 Oct 4;14(39):9287-9293. doi: 10.1039/c6ob01775d. PMID: 27722737."
Salicylihalamide A;CC/C=C\C=C/C(=O)N/C=C/C[C@H]1C[C@H]([C@H](C/C=C/CC2=C(C(=CC=C2)O)C(=O)O1)C)O;439.55;49.592;6;3;0.38462;Polyketides;Inhibition of proton transport activity of V-ATPase in pig adrenal chromaffin granule membrane by fluorescent quenching measurement;Haliclona sp.;"Xie XS, Padron D, Liao X, Wang J, Roth MG, De Brabander JK. Salicylihalamide A inhibits the V0 sector of the V-ATPase through a mechanism distinct from bafilomycin A1. J Biol Chem. 2004 May 7;279(19):19755-63. doi: 10.1074/jbc.M313796200. Epub 2004 Mar 3. PMID: 14998996."
Salicylihalamide B;CC/C=C\C=C/C(=O)N/C=C\C[C@H]1C[C@H]([C@H](C/C=C/CC2=C(C(=CC=C2)O)C(=O)O1)C)O;439.55;49.592;6;3;0.38462;Amino acids and Peptides/ Polyketides;"Inhibition of proton transport activity of V-ATPase in pig adrenal chromaffin granule membrane by fluorescent quenching measurement; Cytotoxicity against african green monkey COS7 cells ";Haliclona sp.;"Xie XS, Padron D, Liao X, Wang J, Roth MG, De Brabander JK. Salicylihalamide A inhibits the V0 sector of the V-ATPase through a mechanism distinct from bafilomycin A1. J Biol Chem. 2004 May 7;279(19):19755-63. doi: 10.1074/jbc.M313796200. Epub 2004 Mar 3. PMID: 14998996."
Manzamine A;C1CCN2CC[C@H]3C(=C[C@@](CC/C=C\C1)([C@H]4[C@]3(C2)C[C@H]/5N4CCCC/C=C5)O)C6=NC=CC7=C6NC8=CC=CC=C78;548.772;65.436;5;2;0.52778;Amino acids and Peptides/ Polyketides;Antimalarial activity;Haliclona sp.;"Hu JF, Hamann MT, Hill R, Kelly M. The manzamine alkaloids. Alkaloids Chem Biol. 2003;60:207-85. doi: 10.1016/s0099-9598(03)60004-0. PMID: 14593858; PMCID: PMC10228634."
Manzamine C;C1CCN(CCCC/C=C\C1)CCC2=NC=CC3=C2NC4=CC=CC=C34;347.504;53.404;3;1;0.43478;Alkaloids;"Induction of PKC-mediated mouse EL-4.IL-2 cells adherence by MTT assay; cytotoxic effects";Haliclona sp.;"Hu JF, Hamann MT, Hill R, Kelly M. The manzamine alkaloids. Alkaloids Chem Biol. 2003;60:207-85. doi: 10.1016/s0099-9598(03)60004-0. PMID: 14593858; PMCID: PMC10228634."
Manzamine D;C1CCN2CC[C@H]3C(=C[C@@](CC/C=C\C1)([C@H]4[C@]3(C2)C[C@H]/5N4CCCC/C=C5)O)C6C7=C(CCN6)C8=CC=CC=C8N7;552.804;63.951;5;3;0.61111;Alkaloids;"Antineuroinflammatory activity in LPS-stimulated rat neonatal microglia; cytotoxic effects; antimycobacterial activity";Ircinia sp.;"Hu JF, Hamann MT, Hill R, Kelly M. The manzamine alkaloids. Alkaloids Chem Biol. 2003;60:207-85. doi: 10.1016/s0099-9598(03)60004-0. PMID: 14593858; PMCID: PMC10228634."
Manzamine Y;C1CCN2CC[C@H]3C(=C[C@@](CC/C=C\C1)([C@H]4[C@]3(C2)C[C@H]/5N4CCCC/C=C5)O)C6=NC=CC7=C6NC8=C7C=C(C=C8)O;564.771;61.979;6;3;0.52778;Terpenoids;"Cytotoxicity against mouse L1210 cells; antibacterial and antiviral activities";Haliclona sp. and Amphimedon sp.;"Hu JF, Hamann MT, Hill R, Kelly M. The manzamine alkaloids. Alkaloids Chem Biol. 2003;60:207-85. doi: 10.1016/s0099-9598(03)60004-0. PMID: 14593858; PMCID: PMC10228634."
Keramaphidin B;C1CCN2CC[C@H]3[C@@H]4CN5CCCC/C=C\CC[C@@]3(C2)[C@@H]5C(=C4)CC/C=C\C1;380.618;63.847;2;0;0.76923;Shikimates and Phenylpropanoids;Cytotoxic effects;Amphimedon sp.;Total Synthesis of Keramaphidin B and Ingenamine by Base-Catalyzed Diels–Alder Reaction Using Dynamic Regioselective Crystallization Yuki Kurihara, Minori Yagi, Takashi Noguchi, Haruka Yasufuku, Ayane Okita, Sho Yoshimura, Takeshi Oishi, Noritaka Chida, Toshitaka Okamura, and Takaaki Sato. Journal of the American Chemical Society 2024 146 (16), 11054-11060 DOI: 10.1021/jacs.4c02338
